method,geometry,transition_width,noise,seed,relative_error,finite_result,success,gain_over_vanilla,smooth_regime_degradation,sharp_regime,final_loss,initial_loss,training_mode,is_actual_pinn_training,claim_status,allowed_claim,forbidden_claim
vanilla_mlp,uniform_strip,0.2,0.0,2026,1.2422834634780884,True,False,0.0,0.0,False,0.22240616381168365,2.166255235671997,actual_autograd_reduced_pinn_training,True,baseline,vanilla MLP is the matched actual-training baseline,universal F-SPS/Fourier superiority
fourier_features,uniform_strip,0.2,0.0,2026,1.716489315032959,True,False,-0.3817211332969134,0.3817211332969135,False,0.10403473675251007,3.5562751293182373,actual_autograd_reduced_pinn_training,True,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
multiscale_fourier_features,uniform_strip,0.2,0.0,2026,1.178992509841919,True,False,0.05094727209760188,0.0,False,0.11914337426424026,2.9194393157958984,actual_autograd_reduced_pinn_training,True,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
f_sps_sampling,uniform_strip,0.2,0.0,2026,1.0529098510742188,True,False,0.1524399365935936,0.0,False,0.24815641343593597,2.9552149772644043,actual_autograd_reduced_pinn_training,True,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
fourier_plus_continuation_asinh,uniform_strip,0.2,0.0,2026,1.6972215175628662,True,False,-0.366211148630332,0.3662111486303319,False,2.3669064044952393,12.490790367126465,actual_autograd_reduced_pinn_training,True,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
vanilla_mlp,uniform_strip,0.2,0.0,2027,1.024237871170044,True,False,0.0,0.0,False,0.1845497190952301,1.524462103843689,actual_autograd_reduced_pinn_training,True,baseline,vanilla MLP is the matched actual-training baseline,universal F-SPS/Fourier superiority
fourier_features,uniform_strip,0.2,0.0,2027,1.0433731079101562,True,False,-0.018682414777587805,0.018682414777587697,False,0.20056270062923431,2.591099977493286,actual_autograd_reduced_pinn_training,True,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
multiscale_fourier_features,uniform_strip,0.2,0.0,2027,1.1725682020187378,True,False,-0.14482019755747544,0.14482019755747544,False,0.1430167853832245,4.2798967361450195,actual_autograd_reduced_pinn_training,True,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
f_sps_sampling,uniform_strip,0.2,0.0,2027,1.0461173057556152,True,False,-0.02136167310487865,0.021361673104878687,False,0.15345041453838348,1.7169287204742432,actual_autograd_reduced_pinn_training,True,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
fourier_plus_continuation_asinh,uniform_strip,0.2,0.0,2027,1.0806987285614014,True,False,-0.05512475078358413,0.05512475078358414,False,1.5946903228759766,13.986624717712402,actual_autograd_reduced_pinn_training,True,failed_but_informative,method effect is condition-limited and not universal,universal F-SPS/Fourier superiority
vanilla_mlp,uniform_strip,0.2,0.02,2026,1.2422065734863281,True,False,0.0,0.0,False,0.2224057912826538,2.166253089904785,actual_autograd_reduced_pinn_training,True,baseline,vanilla MLP is the matched actual-training baseline,universal F-SPS/Fourier superiority
