geometry,rank,transition_width,noise,seed,protocol,basis_type,field_error,port_error,param_error,condition_number,success,finite_result,L_port_G,L_sparse_anchor,L_pde_T,L_pde_m,L_bounds,L_smooth_time,actual_inverse_mode,uses_port_physical_observation,uses_phase_mean_as_terminal_observation,field_recovery_status,parameter_recovery_status,allowed_claim,forbidden_claim
uniform_strip,2,0.2,0.0,2026,port_only,analytic,0.06025269627571106,0.00703670596703887,0.00703671807423234,3.8934937609535485,True,True,6.484495315817185e-06,0.0,1.0200291171713616e-06,0.00024119378940667957,1.0600161637341898e-08,0.004527523182332516,True,True,False,qualified_supported,qualified_supported,port-physical low-rank 2D inverse is only claimable if the aggregate gate clears,full arbitrary 2D field recovery or experimental validation
uniform_strip,2,0.2,0.0,2026,port_plus_random_2pct,analytic,0.07986291497945786,0.02021702192723751,0.020217012614011765,1.7666350923196799,True,True,0.00014317715249489993,0.00634824438020587,2.095920308420318e-06,0.00023509685706812888,4.416289556274933e-08,0.0057275909930467606,True,True,False,qualified_supported,qualified_supported,port-physical low-rank 2D inverse is only claimable if the aggregate gate clears,full arbitrary 2D field recovery or experimental validation
uniform_strip,2,0.2,0.0,2026,port_plus_sensitivity_2pct,analytic,0.06045183166861534,0.005956270266324282,0.005956242326647043,14.735776067341252,True,True,9.859935744316317e-06,0.0029833312146365643,2.5596548312023515e-06,0.0002409593143966049,4.1609322920521663e-07,0.0056603290140628815,True,True,False,qualified_supported,qualified_supported,port-physical low-rank 2D inverse is only claimable if the aggregate gate clears,full arbitrary 2D field recovery or experimental validation
uniform_strip,2,0.2,0.0,2026,port_plus_fisher_2pct,analytic,0.060290880501270294,0.006842286791652441,0.006842338480055332,46.38611713123923,True,True,4.743487806990743e-06,0.005331624299287796,1.8084873545376468e-06,0.00023533603234682232,2.9325144623726374e-07,0.0048130834475159645,True,True,False,qualified_supported,qualified_supported,port-physical low-rank 2D inverse is only claimable if the aggregate gate clears,full arbitrary 2D field recovery or experimental validation
uniform_strip,2,0.2,0.0,2026,port_plus_dense_5pct,analytic,0.0610930360853672,0.00892189983278513,0.00892189797013998,21.60989458552943,True,True,1.297528524446534e-05,0.003609767183661461,3.0940966553316684e-06,0.0002341654326301068,9.087995778145341e-08,0.006130995228886604,True,True,False,qualified_supported,qualified_supported,port-physical low-rank 2D inverse is only claimable if the aggregate gate clears,full arbitrary 2D field recovery or experimental validation
uniform_strip,2,0.2,0.0,2026,port_only,pod,1.5708292722702026,1.3235505819320679,1.32389497756958,1.000000000000002,False,True,0.5897287726402283,0.0,0.0015987360384315252,0.00014136277604848146,5.519579531210184e-07,0.28837883472442627,True,True,False,forbidden,failed_but_informative,port-physical low-rank 2D inverse is only claimable if the aggregate gate clears,full arbitrary 2D field recovery or experimental validation
uniform_strip,2,0.2,0.0,2026,port_plus_random_2pct,pod,1.572011947631836,1.3249603509902954,1.325304627418518,5.243033403476014,False,True,0.5908486247062683,4.893215179443359,0.0016175756463781,0.0001913886226247996,0.00023133457580115646,0.484639048576355,True,True,False,forbidden,failed_but_informative,port-physical low-rank 2D inverse is only claimable if the aggregate gate clears,full arbitrary 2D field recovery or experimental validation
uniform_strip,2,0.2,0.0,2026,port_plus_sensitivity_2pct,pod,1.5724818706512451,1.3265764713287354,1.326926350593567,3.2500006569895006,False,True,0.5919859409332275,4.841150760650635,0.00161032157484442,0.00012350798351690173,0.00023377823526971042,0.3146945536136627,True,True,False,forbidden,failed_but_informative,port-physical low-rank 2D inverse is only claimable if the aggregate gate clears,full arbitrary 2D field recovery or experimental validation
uniform_strip,2,0.2,0.0,2026,port_plus_fisher_2pct,pod,1.5727245807647705,1.327815294265747,1.3281660079956055,2.8962474522673993,False,True,0.5929549932479858,4.566152572631836,0.0016079895431175828,0.00014638858556281775,0.000205267162527889,0.4218473732471466,True,True,False,forbidden,failed_but_informative,port-physical low-rank 2D inverse is only claimable if the aggregate gate clears,full arbitrary 2D field recovery or experimental validation
uniform_strip,2,0.2,0.0,2026,port_plus_dense_5pct,pod,1.5719001293182373,1.3255054950714111,1.3258559703826904,1.290003921855114,False,True,0.5911878347396851,4.748148441314697,0.0016124201938509941,0.00012753026385325938,0.00024114626285154372,0.2770632207393646,True,True,False,forbidden,failed_but_informative,port-physical low-rank 2D inverse is only claimable if the aggregate gate clears,full arbitrary 2D field recovery or experimental validation
