branch,current_A,current_mA,cc_a_alpha_tau,cc_b_alpha_tau,cc_a_stable,cc_b_classification,cc_a_conductive_state,cc_b_mean_conductive_state,cc_a_temperature_K,cc_b_temperature_mean_K,cc_a_device_voltage_V,cc_b_device_voltage_V,claim_boundary
heating,0.0001,0.1,-1.117022838726888,-0.9330895256029816,True,STABLE_MARGIN_PASS,0.009433270844324437,0.00943327084432547,327.19880367322224,327.19880367322247,4.529535566837764,4.529535566837697,lumped local stability does not imply distributed constrained thermal stability
heating,0.0002,0.2,-1.5816932845026523,-0.47017467091073223,True,STABLE_MARGIN_PASS,0.0814786788780184,0.08147867887801774,331.6091013039466,331.6091013039466,6.807374343064995,6.807374343065023,lumped local stability does not imply distributed constrained thermal stability
heating,0.0003,0.3,-2.9320558195217297,0.8792075864359293,True,POSITIVE_UNSTABLE,0.30387970558629385,0.3038797055863086,334.7583763549107,334.7583763549109,6.7007517637052265,6.700751763705042,lumped local stability does not imply distributed constrained thermal stability
heating,0.0004,0.4,-4.398998901150948,2.345872025090274,True,POSITIVE_UNSTABLE,0.5063480795578033,0.5063480795578005,336.44668514370204,336.446685143702,5.895042849006512,5.895042849006573,lumped local stability does not imply distributed constrained thermal stability
heating,0.0005,0.5,-5.5097495216588435,3.4565189304645667,True,POSITIVE_UNSTABLE,0.6393959765212693,0.6393959765213911,337.5284041019379,337.5284041019389,5.161702489998741,5.161702489996813,lumped local stability does not imply distributed constrained thermal stability
heating,0.0006,0.6,-6.315483927988338,4.262202316747893,True,POSITIVE_UNSTABLE,0.7263180826207153,0.7263180826207367,338.32539625028414,338.32539625028437,4.575052712597592,4.575052712597203,lumped local stability does not imply distributed constrained thermal stability
heating,0.0007,0.7,-6.90656528177053,4.853254186789959,True,POSITIVE_UNSTABLE,0.7854589559067586,0.7854589559067753,338.9612571864142,338.96125718641434,4.10859854343044,4.108598543430109,lumped local stability does not imply distributed constrained thermal stability
cooling,0.0001,0.1,-1.2843964040309037,-0.7666751849068316,True,STABLE_MARGIN_PASS,0.22505947601374765,0.2250594760137715,326.75997909475757,326.7599790947578,3.6255569352005472,3.625556935200395,lumped local stability does not imply distributed constrained thermal stability
cooling,0.0002,0.2,-2.2131484533422507,0.16061441901211027,True,POSITIVE_UNSTABLE,0.4915627477639041,0.4915627477639713,329.13679602208924,329.1367960220897,4.260899902752133,4.260899902751473,lumped local stability does not imply distributed constrained thermal stability
cooling,0.0003,0.3,-3.138983574799654,1.086077194169536,True,POSITIVE_UNSTABLE,0.6725948038850516,0.6725948038850964,330.62631529289155,330.62631529289195,3.863403167785569,3.8634031677849787,lumped local stability does not imply distributed constrained thermal stability
cooling,0.0004,0.4,-3.827124581576795,1.7740772363998276,True,POSITIVE_UNSTABLE,0.7743142996442083,0.7743142996442639,331.6399318934867,331.6399318934873,3.4195649251458957,3.419564925144975,lumped local stability does not imply distributed constrained thermal stability
cooling,0.0005,0.5,-4.330313768014326,2.277195135752249,True,POSITIVE_UNSTABLE,0.8350029992822192,0.8350029992822405,332.4080613053988,332.4080613053991,3.052121257824313,3.052121257823893,lumped local stability does not imply distributed constrained thermal stability
cooling,0.0006,0.6,-4.704939173599924,2.6517783668448627,True,POSITIVE_UNSTABLE,0.8739745685089324,0.8739745685089351,333.03070860395366,333.0307086039537,2.7572099540240447,2.757209954023985,lumped local stability does not imply distributed constrained thermal stability
cooling,0.0007,0.7,-4.987418850609322,2.9342308072850343,True,POSITIVE_UNSTABLE,0.9005535527593727,0.9005535527593965,333.5580263879231,333.55802638792363,2.51850490844599,2.518504908445373,lumped local stability does not imply distributed constrained thermal stability
